Concept(EN),ConceptClass,Concept(IT),Prod.Frequency,Rank,Feature,RelationType,FreqWaCKy,logFreqWaCKy,No.Letters,No.Syllables,No.Features,No.DistinguishingFeatures,Percent.DistinguishingFeatures,MeanDistinctivenessAcrossFeatures,MeanCueValidity,No.IntercorrelatedFeatures,Percent.IntercorrelatedFeatures,IntercorrelationalDensity,(Non)Distinguishing,Distinctiveness,Q1,Q2,T,S_obs,U,S_hat,sd_S_hat,CI_L,CI_U,C_T,Nationality
dog,mammal,cane,7,8,has_a_tail,ece,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,1.0,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,6,9,beh_-_eats_everything,eb,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,0.5,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
dog,mammal,cane,5,10,used_for_company,eae,117804,11.6767775054805,4,2,12,9,0.75,0.601389,3.239552,25,0.892857,8.4566145605346,D,1.0,29,17,37,62,225,86.066772655008,11.7485698826393,71.7247675573373,121.560245796397,0.875176252319109,IT
eye,bodypart,occhio,37,1,used_for_seeing,sf,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,D,1.0,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,18,2,a_body_part,ch,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,ND,0.2,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,17,3,different_colours,ese,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,ND,0.142857,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,13,4,there_are_2,eq,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,ND,0.333333,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,9,5,an_organ,ch,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,D,1.0,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,6,6,has_an_iris,ece,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,D,1.0,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
eye,bodypart,occhio,5,7,has_a_pupil,ece,322303,12.6832473758583,6,2,9,5,0.555556,0.649206,7.063156,2,0.333333,0.623728887235515,D,1.0,14,5,37,36,160,55.0702702702703,13.9897288838624,41.2698593281708,105.010420493973,0.91420233463035,IT
